Datum,Omschrijving,Bedrag,Type,Categorie,Rekening,Tegenrekening,Tags
2024-09-18,Albert Heijn Dirkshorn,-92.15,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-09-19,Decathlon Haarlem,-38.50,Debit,Sport,NL91ABNA0417164300,DECATHLON,
2024-09-20,Pathé Bioscoop Alkmaar,-28.00,Debit,Vrije tijd,NL91ABNA0417164300,PATHE BIOSCOOP,
2024-09-21,Gratis €10 cadeau,10.00,Credit,Bonus,NL91ABNA0417164300,COOP SUPERMARKT,
2024-09-22,PLUS Supermarkt,-84.60,Debit,Supermarkten,NL91ABNA0417164300,PLUS RETAIL,
2024-09-23,Uber Eats,-22.50,Debit,Restaurants,NL91ABNA0417164300,UBER EATS,
2024-09-24,Energienota Vattenfall,-89.00,Debit,Wonen,NL91ABNA0417164300,VATTENFALL,
2024-09-25,Waterrekening,-35.00,Debit,Wonen,NL91ABNA0417164300,DRINKWATERBEDRIJF,
2024-09-26,H&M Alkmaar,-55.90,Debit,Kleding,NL91ABNA0417164300,H&M,
2024-09-27,AH Tanken Schagen,-78.30,Debit,Transport,NL91ABNA0417164300,SHELL NEDERLAND,
2024-09-28,Jumbo Supermarkt,-103.45,Debit,Supermarkten,NL91ABNA0417164300,JUMBO SUPERMARKT,
2024-09-29,Amazon Prime,-5.99,Debit,Vrije tijd,NL91ABNA0417164300,AMAZON EU,
2024-09-30,Spotify Premium,-9.99,Debit,Vrije tijd,NL91ABNA0417164300,SPOTIFY AB,
2024-10-01,Salaris oktober,2800.00,Credit,Werk,NL91ABNA0417164300,,
2024-10-01,Huur oktober,-1200.00,Debit,Wonen,NL91ABNA0417164300,NL52INGB0001234567,
2024-10-01,Telefoonabonnement KPN,-25.00,Debit,Communicatie,NL91ABNA0417164300,KPN MOBIEF,
2024-10-02,Albert Heijn Dirkshorn,-94.25,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-10-03,ING Bank kosten,-3.50,Debit,Banken,NL91ABNA0417164300,ING BANK,
2024-10-04,AH Tanken Alkmaar,-69.80,Debit,Transport,NL91ABNA0417164300,SHELL NEDERLAND,
2024-10-05,Plus Supermarkt,-81.70,Debit,Supermarkten,NL91ABNA0417164300,PLUS RETAIL,
2024-10-06,Thuisbezorgd.nl,-32.50,Debit,Restaurants,NL91ABNA0417164300,THUISBEZORGD,
2024-10-07,V&D Schagen,-28.90,Debit,Restaurants,NL91ABNA0417164300,VAN DER VALK,
2024-10-08,AH Dirkshorn,-76.35,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-10-09,Brandverzekering Interpolis,-18.50,Debit,Verzekeringen,NL91ABNA0417164300,INTERPOLIS,
2024-10-10,Google One,-2.99,Debit,Communicatie,NL91ABNA0417164300,GOOGLE IRELAND,
2024-10-11,Albert Heijn Schagen,-125.60,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-10-12,Action Alkmaar,-23.70,Debit,Huishouden,NL91ABNA0417164300,ACTION,
2024-10-13,Zara Alkmaar,-89.90,Debit,Kleding,NL91ABNA0417164300,ZARA,
2024-10-14,AH Tanken Schagen,-74.10,Debit,Transport,NL91ABNA0417164300,SHELL NEDERLAND,
2024-10-15,Apple iCloud+,1.99,Credit,Bonus,NL91ABNA0417164300,APPLE DISTRIBUTION,
2024-10-16,Jumbo Supermarkt,-88.45,Debit,Supermarkten,NL91ABNA0417164300,JUMBO SUPERMARKT,
2024-10-17,Garage Dirkshorn onderhoud,-245.00,Debit,Auto,NL91ABNA0417164300,GARAGE DIRKSHORN,
2024-10-18,Albert Heijn Dirkshorn,-91.20,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-10-19,Coolblue bestelling,-159.99,Debit,Electronica,NL91ABNA0417164300,COOLBLUE,
2024-10-20,Planet Fitness Alkmaar,-24.99,Debit,Sport,NL91ABNA0417164300,PLANET FITNESS,
2024-10-21,ANWB Wegenwacht,-8.50,Debit,Verzekeringen,NL91ABNA0417164300,ANWB,
2024-10-22,PLUS Supermarkt,-79.85,Debit,Supermarkten,NL91ABNA0417164300,PLUS RETAIL,
2024-10-23,De Vegetarische Slager,-15.50,Debit,Supermarkten,NL91ABNA0417164300,VEGETARISCHE SLAGER,
2024-10-24,Energienota Vattenfall,-94.00,Debit,Wonen,NL91ABNA0417164300,VATTENFALL,
2024-10-25,Netflix Nederland,-15.99,Debit,Vrije tijd,NL91ABNA0417164300,NETFLIX IRELAND,
2024-10-26,AH Tanken Alkmaar,-82.40,Debit,Transport,NL91ABNA0417164300,TOTAL NEDERLAND,
2024-10-27,Jumbo Supermarkt,-96.70,Debit,Supermarkten,NL91ABNA0417164300,JUMBO SUPERMARKT,
2024-10-28,Kruidvat Dirkshorn,-18.60,Debit,Huishouden,NL91ABNA0417164300,KRUIDVAT,
2024-10-29,iCloud storage,-1.00,Credit,Bonus,NL91ABNA0417164300,APPLE DISTRIBUTION,
2024-10-30,Albert Heijn Dirkshorn,-83.90,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-10-31,Halloween decoratie Action,-12.50,Debit,Vrije tijd,NL91ABNA0417164300,ACTION,
2024-11-01,Salaris november,2800.00,Credit,Werk,NL91ABNA0417164300,,
2024-11-01,Huur november,-1200.00,Debit,Wonen,NL91ABNA0417164300,NL52INGB0001234567,
2024-11-01,NS Dal Vrij abonnement,-100.00,Debit,Transport,NL91ABNA0417164300,NS GROEP NV,
2024-11-02,Albert Heijn Dirkshorn,-98.45,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-11-03,Telfort Internet,-45.00,Debit,Wonen,NL91ABNA0417164300,KPN NEDERLAND,
2024-11-04,AH Tanken Schagen,-67.80,Debit,Transport,NL91ABNA0417164300,SHELL NEDERLAND,
2024-11-05,Plus Supermarkt,-86.20,Debit,Supermarkten,NL91ABNA0417164300,PLUS RETAIL,
2024-11-06,Pizza Hut Alkmaar,-19.99,Debit,Restaurants,NL91ABNA0417164300,PIZZA HUT,
2024-11-07,Etos Dirkshorn,-22.30,Debit,Huishouden,NL91ABNA0417164300,ETOS,
2024-11-08,Albert Heijn Schagen,-134.50,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-11-09,Amazon.nl bestelling,-67.45,Debit,Electronica,NL91ABNA0417164300,AMAZON EU,
2024-11-10,MediaMarkt Alkmaar,-299.99,Debit,Electronica,NL91ABNA0417164300,MEDIAMARKT,
2024-11-11,Single Day ticket,-89.00,Debit,Vrije tijd,NL91ABNA0417164300,MOJO CONCERTS,
2024-11-12,AH Tanken Alkmaar,-71.50,Debit,Transport,NL91ABNA0417164300,SHELL NEDERLAND,
2024-11-13,Jumbo Supermarkt,-102.35,Debit,Supermarkten,NL91ABNA0417164300,JUMBO SUPERMARKT,
2024-11-14,Starbucks Alkmaar,-6.50,Debit,Restaurants,NL91ABNA0417164300,STARBUCKS,
2024-11-15,Huisarts Dirkshorn,-35.00,Debit,Zorg,NL91ABNA0417164300,HUISARTSEN PRAKTIJK,
2024-11-16,Albert Heijn Dirkshorn,-91.80,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-11-17,Intertoys Alkmaar,-34.50,Debit,Kinderen,NL91ABNA0417164300,INTERTOYS,
2024-11-18,Gemeentebelastingen,-215.00,Debit,Belastingen,NL91ABNA0417164300,GEMEENTE SCHAGEN,
2024-11-19,AH Tanken Schagen,-76.90,Debit,Transport,NL91ABNA0417164300,SHELL NEDERLAND,
2024-11-20,Plus Supermarkt,-88.60,Debit,Supermarkten,NL91ABNA0417164300,PLUS RETAIL,
2024-11-21,Visser Dirkshorn,-42.30,Debit,Restaurants,NL91ABNA0417164300,DE VISSER,
2024-11-22,Blokker Alkmaar,-45.00,Debit,Huishouden,NL91ABNA0417164300,BLOKKER,
2024-11-23,Albert Heijn Schagen,-108.70,Debit,Supermarkten,NL91ABNA0417164300,AH HOLDING ALKMAAR,
2024-11-24,Energienota Vattenfall,-87.50,Debit,Wonen,NL91ABNA0417164300,VATTENFALL,
2024-11-25,NS Flex abonnement,-12.50,Debit,Transport,NL91ABNA0417164300,NS GROEP NV,
2024-11-26,AH Tanken Alkmaar,-79.60,Debit,Transport,NL91ABNA0417164300,TOTAL NEDERLAND,
2024-11-27,Jumbo Supermarkt,-97.45,Debit,Supermarkten,NL91ABNA0417164300,JUMBO SUPERMARKT,
2024-11-28,C&A Alkmaar,-67.80,Debit,Kleding,NL91ABNA0417164300,C&A,
2024-11-29,Spotify Premium,-9.99,Debit,Vrije tijd,NL91ABNA0417164300,SPOTIFY AB,
2024-11-30,Sinterklaas cadeau,-45.00,Debit,Kinderen,NL91ABNA0417164300,BOL.COM,
